#GeneSymbol	Categories
MAP2	periphery
SNAPC4	periphery
TRA2A	periphery
AKAP13	periphery
MVD	periphery
CYP20A1	periphery
TSGA10	periphery
SAFB	periphery
SOS2	periphery
PTGS2	periphery
RAB27B	periphery
ACHE	periphery
AKAP9	periphery
ZNF184	periphery
BRD2	periphery
NDC80	periphery
LIMK2	periphery
MIS18BP1	periphery
CLK2	periphery
NT5M	periphery
TPM1	periphery
MTDH	periphery
HIPK2	periphery
NRGN	periphery
SLC33A1	periphery
EZH2	periphery
ZC3H15	periphery
NRAP	periphery
TAOK1	periphery
CLU	periphery
CSE1L	periphery
LTBP4	periphery
CDK10	periphery
IL1B	periphery
XCL1	periphery
TCF3	periphery
NGFRAP1	periphery
GNAZ	periphery
NCR3	periphery
ID3	periphery
SUGP2	periphery
WNT16	periphery
EIF5B	periphery
ATF3	periphery
CYTH1	periphery
SNRNP200	periphery
TOP3B	periphery
MPP1	periphery
ACSL4	periphery
CD22	periphery
LUC7L3	periphery
EDN1	periphery
APOBEC3F	periphery
PSEN2	periphery
PPIG	periphery
EEA1	periphery
FHL2	periphery
NUP210	periphery
UBXN7	periphery
KAT6A	periphery
NID2	periphery
LTK	periphery
DHX35	periphery
PDE4DIP	periphery
QKI	periphery
FBXL4	periphery
TRIM14	periphery
GPR37	periphery
NEU2	periphery
TPM4	periphery
ARL4C	periphery
EMP1	periphery
PDGFB	periphery
RANGAP1	periphery
KPNA6	periphery
PROSC	periphery
PNISR	periphery
CASP8	periphery
HIST1H3D	periphery
PIN1	periphery
MRPL24	periphery
PDIA2	periphery
PRPF4B	periphery
CCHCR1	periphery
BUB1	periphery
HIC2	periphery
MPPE1	periphery
XK	periphery
UBXN6	periphery
CD14	periphery
SLC13A2	periphery
PIK3R1	periphery
CORO1C	periphery
NPY2R	periphery
SLC7A1	periphery
RBL2	periphery
N4BP2L2	periphery
P2RX7	periphery
MANEA	periphery
RAB7A	periphery
TRIM38	periphery
GK3P	periphery
IKBKB	periphery
GPX3	periphery
SLC16A1	periphery
ATP9A	periphery
KIF24	periphery
PPFIBP1	periphery
BLVRB	periphery
HLTF	periphery
EIF4G3	periphery
ATP1B1	periphery
GOSR1	periphery
C1orf112	periphery
MLH3	periphery
PPP1R15A	periphery
MRPS11	periphery
LEPR	periphery
RHOBTB3	periphery
MPL	periphery
